Sample ID,Band ID,State,Mass,Sex,Hg,Blood Hg,Cort
A1,273166772,Wisconsin,59,M,5.863,0.617,10.07
A2,273166424,Wisconsin,51,M,1.57,0.254,5.87
A3,273166426,Wisconsin,56,F,2.556,0.353,7.31
A4,273166427,Wisconsin,52,M,3.4,0.428,9.1
A5,74148310,Wisconsin,52,M,2.594,0.356,5.29
A6,270188942,Wisconsin,53,F,2.156,0.315,7.09
A7,273166905,Wisconsin,55,F,2.354,0.334,5.92
A8,289105647,Wisconsin,55,F,1.927,0.292,8.08
A9,808172761,Wisconsin,53,M,3.013,0.394,6.53
A10,270188994,Wisconsin,52,F,3.598,0.444,3.53
A11,265146507,Wisconsin,53,M,4.457,0.513,8.5
A12,273166823,Wisconsin,52,M,1.44,0.24,7.43
A13,273167954,Wisconsin,55,F,1.423,0.238,7.42
A15,265146477,Wisconsin,52,F,1.884,0.287,4.96
A16,270188986,Wisconsin,55,M,2.217,0.321,5.22
A17,270188941,Wisconsin,53,M,2.376,0.336,8.5
A18,289105098,Wisconsin,52,F,1.225,0.215,8.9
A19,270188962,Wisconsin,56,F,2.853,0.38,4.26
A20,270188885,Wisconsin,57,M,2.366,0.335,6.46
A21,74148320,Wisconsin,48,F,2.215,0.321,5.57
A22,270188975,Wisconsin,52,F,1.773,0.276,6.42
A23,273166824,Wisconsin,53,F,2.338,0.332,8.51
A24,265146744,Wisconsin,54,M,2.371,0.336,6.58
A25,270188972,Wisconsin,55,M,4.139,0.488,7.35
B1,135254135,Virginia,52.6,M,3.482,0.435,7.39
B2,135255822,Virginia,49.4,M,3.382,0.426,7.07
B3,135255837,Virginia,45.7,M,3.485,0.435,8.17
B4,135255829,Virginia,51.3,M,5.371,0.582,5.05
B5,135255825,Virginia,50,F,2.459,0.344,7.26
B6,135254661,Virginia,47.9,M,2.658,0.362,5.31
B7,135355831,Virginia,50.4,F,1.537,0.251,5.72
B8,135255836,Virginia,45,F,3.407,0.428,5.85
B9,135255820,Virginia,49.1,M,3.013,0.394,5
B10,135255834,Virginia,47.9,F,4.211,0.494,7.57
B11,135254904,Virginia,40.1,M,2.945,0.388,5.38
B12,135255841,Virginia,47.4,M,2.358,0.334,9.44
B13,135255839,Virginia,49.1,F,2.448,0.343,4.1
B14,135255840,Virginia,48.4,F,2.279,0.327,5.71
B15,135255830,Virginia,49.8,F,1.842,0.283,6.47
B16,135255832,Virginia,50.4,F,2.38,0.336,4.03
B17,135255824,Virginia,51.2,M,2.558,0.353,5.58
B18,135255821,Virginia,49.2,F,1.186,0.211,6.93
B19,135255823,Virginia,50,F,5.332,0.579,5.83
B20,135254971,Virginia,52,M,3.079,0.4,5.24
B21,135255097,Virginia,50.3,F,1.837,0.283,7.45
B22,135255833,Virginia,50.9,F,2.863,0.381,5.88
B23,135255838,Virginia,54.4,F,1.515,0.248,4.36
B24,135255835,Virginia,45.7,M,1.901,0.289,7.71
B25,134246834,Virginia,61.6,F,3.495,0.436,6.8
D1,250110926,Florida,56.3,F,2.267,0.326,13.53
D2,250110940,Florida,50.2,M,3.476,0.434,6.77
D3,250110959,Florida,52.2,M,1.824,0.281,48.82
D4,250111000,Florida,52.5,M,8.74,0.807,24.96
D5,250128126,Florida,48.1,F,5.424,0.586,134.09
D6,250128184,Florida,53,M,1.236,0.216,8.72
D7,250145177,Florida,52.4,F,1.848,0.284,14.13
D8,250145705,Florida,49.2,F,5.293,0.576,12.86
D9,250173603,Florida,50.6,M,1.943,0.293,16.54
D10,250173647,Florida,49.4,F,7.234,0.711,12.34
D11,250173703,Florida,56.1,F,1.454,0.241,10.98
D12,250173714,Florida,49.4,F,4.328,0.503,11.81
D13,250173740,Florida,53.9,F,2.88,0.382,17.49
D14,250176345,Florida,56,M,1.539,0.251,14.02
D15,250176347,Florida,51.6,M,2.383,0.337,13.67
D16,250176382,Florida,53.1,M,2.567,0.354,9.94
D17,250186313,Florida,56.1,F,2.681,0.364,21.34
D18,250186356,Florida,52.8,F,3.939,0.472,13.68
D19,250186507,Florida,49.4,M,3.421,0.429,21.02
D20,250186543,Florida,48.8,M,4.146,0.489,16.54
D21,250186545,Florida,54.6,M,3.105,0.402,11.1
D22,250186555,Florida,54.2,M,2.498,0.348,12.74
D23,250186557,Florida,53.9,M,2.668,0.363,15.55
D24,250186603,Florida,56.9,M,2.309,0.33,13.5
D25,284110722,Florida,62.1,F,1.423,0.238,14.59
D26,284110756,Florida,47.2,M,1.5,0.247,50.46
D27,284110770,Florida,53.5,F,2.793,0.375,16.14
D28,284110773,Florida,54.2,F,1.377,0.233,12.97
D29,284110786,Florida,57.9,F,1.103,0.2,15.78
D30,284110787,Florida,57.5,F,1.295,0.223,12.85
